model,length,similarity,distance,n_total,n_success,n_error,coverage,error_rate,score_mean,score_all,f1_mean,rouge_l_mean,latency_mean
qwen3_8b,16000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,5.8341
qwen3_8b,16000.0,same_name_same_domain,far,3,3,0,1.0,0.0,0.6667,0.6667,,,4.3972
qwen3_8b,16000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,3.0871
qwen3_8b,16000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,6.4032
qwen3_8b,32000.0,completely_different,far,2,2,0,1.0,0.0,1.0,1.0,,,4.1874
qwen3_8b,32000.0,completely_different,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.5675
qwen3_8b,32000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,5.0983
qwen3_8b,32000.0,diff_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,5.9804
qwen3_8b,32000.0,diff_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,5.3661
qwen3_8b,32000.0,diff_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,4.3482
qwen3_8b,32000.0,same_name_diff_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,4.8408
qwen3_8b,32000.0,same_name_diff_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,4.4394
qwen3_8b,32000.0,same_name_diff_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,14.5397
qwen3_8b,32000.0,same_name_same_domain,far,3,3,0,1.0,0.0,1.0,1.0,,,6.4345
qwen3_8b,32000.0,same_name_same_domain,medium,3,3,0,1.0,0.0,1.0,1.0,,,6.4181
qwen3_8b,32000.0,same_name_same_domain,near,3,3,0,1.0,0.0,1.0,1.0,,,6.2679
seed_oss_36b,8000.0,completely_different,far,1,1,0,1.0,0.0,0.0,0.0,,,2.7734
seed_oss_36b,8000.0,completely_different,near,3,3,0,1.0,0.0,0.3333,0.3333,,,12.2299
seed_oss_36b,8000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,0.5,0.5,,,3.1156
seed_oss_36b,8000.0,diff_name_same_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,97.8638
seed_oss_36b,8000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,0.0,0.0,,,146.9551
seed_oss_36b,8000.0,same_name_diff_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,4.1108
seed_oss_36b,8000.0,same_name_diff_domain,near,1,1,0,1.0,0.0,0.0,0.0,,,4.8418
seed_oss_36b,8000.0,same_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,3.5332
seed_oss_36b,8000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,2.9305
seed_oss_36b,16000.0,completely_different,far,2,2,0,1.0,0.0,1.0,1.0,,,5.1707
seed_oss_36b,16000.0,completely_different,medium,1,1,0,1.0,0.0,1.0,1.0,,,4.4179
seed_oss_36b,16000.0,completely_different,near,1,1,0,1.0,0.0,1.0,1.0,,,4.931
seed_oss_36b,16000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,67.8817
seed_oss_36b,16000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,3.9708
seed_oss_36b,16000.0,same_name_diff_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,5.5714
seed_oss_36b,16000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,5.8332
seed_oss_36b,16000.0,same_name_same_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,12.442
seed_oss_36b,16000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,4.8695
seed_oss_36b,16000.0,same_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,3.9784
seed_oss_36b,32000.0,completely_different,far,1,1,0,1.0,0.0,1.0,1.0,,,7.3718
seed_oss_36b,32000.0,completely_different,medium,1,1,0,1.0,0.0,0.0,0.0,,,15.73
seed_oss_36b,32000.0,completely_different,near,2,2,0,1.0,0.0,1.0,1.0,,,8.8261
seed_oss_36b,32000.0,diff_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,8.8584
seed_oss_36b,32000.0,diff_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,10.5868
seed_oss_36b,32000.0,diff_name_same_domain,near,1,1,0,1.0,0.0,1.0,1.0,,,5.4234
seed_oss_36b,32000.0,same_name_diff_domain,far,1,1,0,1.0,0.0,1.0,1.0,,,9.9717
seed_oss_36b,32000.0,same_name_diff_domain,medium,1,1,0,1.0,0.0,1.0,1.0,,,7.4463
seed_oss_36b,32000.0,same_name_diff_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,28.4106
seed_oss_36b,32000.0,same_name_same_domain,far,2,2,0,1.0,0.0,1.0,1.0,,,8.8404
seed_oss_36b,32000.0,same_name_same_domain,medium,2,2,0,1.0,0.0,1.0,1.0,,,6.6779
seed_oss_36b,32000.0,same_name_same_domain,near,2,2,0,1.0,0.0,1.0,1.0,,,8.6197
